muE muT s_best s_min s_max d_best d_min d_max
200000 300000 0.08435694351255041 0.08292347452653138 0.08704990556340675 0.0024591770017286497 0.0023868174835402402 0.0025297989439070027
200000 400000 0.08382680089842459 0.08264221872972656 0.08657549090289736 0.0024557678818757874 0.0023815040988394063 0.002526328035050111
200000 500000 0.0837009126105071 0.08252688132649699 0.08646834990598104 0.0024537455463079713 0.00237866478878666 0.0025247292245848887
275000 375000 0.0843987098362177 0.08345045695682234 0.08680049981379404 0.002476400953636036 0.002403136902306539 0.002547662751594175
275000 400000 0.0845122263602902 0.08347307429767623 0.08735995144333994 0.002475502474459663 0.0024022936393899193 0.0025440725548617708
275000 425000 0.08450666632604976 0.08356845132522789 0.08729619505817313 0.002479258691204269 0.002406515286250625 0.0025472989367927115
300000 300000 0.08452552572627894 0.08347485491895905 0.08738763152499221 0.0024756788137632255 0.002402002246852572 0.002543961581267169
300000 375000 0.08466366030850511 0.0834777750374316 0.08752515551481242 0.0024734038228508945 0.002400593469177244 0.0025427456050305815
300000 400000 0.08471077909919979 0.08352047854549685 0.08755758484493158 0.0024744765605204545 0.002401585641693055 0.0025438369825475406
300000 425000 0.0847442538431372 0.08353795659358038 0.08759220320289209 0.0024745456686175197 0.002401769228024199 0.002544075071072811
300000 500000 0.08474291561728196 0.08349305471261931 0.08758578554440856 0.0024731836953198628 0.0024003732778676737 0.0025428263123722025
400000 300000 0.08604505675182467 0.08370214864107002 0.08849036373584736 0.002448254432123515 0.0023781987398068323 0.0025165934502661357
400000 400000 0.086074687063441 0.08376710397066162 0.08859008362436468 0.002452456729942473 0.002383070739347643 0.002521169832260759
400000 500000 0.08618319171176274 0.08382114496182252 0.0887050511691925 0.002450803493136521 0.002380533574881403 0.0025194021338329556
425000 375000 0.08609675167754799 0.0837648325163033 0.08859448967184796 0.002450364130321316 0.0023806275276226185 0.002519028626456158
425000 400000 0.08607605188230552 0.08381171291461696 0.08865434292940207 0.0024544263101282868 0.0023857552667749583 0.002523052363945911
425000 425000 0.0861364657848957 0.08387124488914015 0.08875729778739949 0.00245680397551097 0.002387728415520757 0.002524734686002796
